station_id,station_name,district,longitude,latitude,first_seen,last_seen,capacity_min,capacity_max,capacity_changed
1324,中山1號科技總部,土城區,121.41212463378906,24.960447311401367,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1325,六張公園,三重區,121.49404907226562,25.069660186767578,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1326,國光公園,板橋區,121.4540023803711,25.019800186157227,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1327,學成公園,土城區,121.45150756835938,24.98802947998047,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1328,捷運新店區公所站(1號出口),新店區,121.54100799560547,24.967369079589844,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1329,文中三平面停車場,新莊區,121.43473052978516,25.037389755249023,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1330,新莊田徑場,新莊區,121.45259094238281,25.04340934753418,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1331,板橋國民運動中心,板橋區,121.4581527709961,25.022239685058594,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1332,民樂人行廣場,中和區,121.48265075683594,25.001840591430664,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1333,清水社區公園,土城區,121.46353149414062,24.98381996154785,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1334,溪北公園,板橋區,121.43224334716797,24.989990234375,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1335,金龍公園,汐止區,121.63153076171875,25.069469451904297,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1336,青山廣場,土城區,121.45986938476562,24.977930068969727,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1337,鶯歌火車站(仁愛路62號),鶯歌區,121.35407257080078,24.955049514770508,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1338,億光電子(樹林高中),樹林區,121.42359924316406,24.98356056213379,2026-01-01 00:00:00,2026-06-30 23:30:00,41,42,1
1339,十分遊客中心,平溪區,121.78279113769531,25.047109603881836,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1340,成泰路4段22巷,五股區,121.45600128173828,25.108299255371094,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1341,捷運七張站(1號出口),新店區,121.54277038574219,24.97499656677246,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1342,永和國小,永和區,121.51744079589844,25.002269744873047,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1343,新店公有中央市場,新店區,121.52729034423828,24.975309371948242,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
1344,二重國小,三重區,121.4776611328125,25.065980911254883,2026-01-01 00:00:00,2026-06-30 23:30:00,43,43,0
1345,國光里(國光路),板橋區,121.4584732055664,25.017799377441406,2026-01-01 00:00:00,2026-06-30 23:30:00,43,43,0
